,DHd_2016.zip,DHd_2017.zip,DHd_2018.zip,DHd_2019.zip,DHd_2020.zip,DHd_2022.zip,DHd_2023.zip
Aufzeichnung,0.075,0.025,0.006,0.031,0.0,0.0,0.006
Bilderfassung,0.106,0.031,0.025,0.037,0.031,0.031,0.037
Datenerkennung,0.15,0.087,0.056,0.031,0.031,0.062,0.044
Entdeckung,0.156,0.069,0.069,0.044,0.044,0.075,0.044
Sammlung,0.219,0.15,0.1,0.05,0.081,0.163,0.113
Transkription,0.144,0.075,0.106,0.094,0.1,0.094,0.05
Umwandlung,0.138,0.056,0.019,0.044,0.025,0.044,0.031
Gestaltung,0.225,0.087,0.056,0.031,0.031,0.019,0.025
Programmierung,0.3,0.169,0.144,0.1,0.094,0.106,0.069
Schreiben,0.056,0.031,0.0,0.019,0.0,0.025,0.025
Übersetzung,0.031,0.019,0.006,0.025,0.013,0.006,0.0
Webentwicklung,0.294,0.125,0.081,0.05,0.081,0.075,0.075
Annotieren,0.494,0.244,0.275,0.237,0.244,0.281,0.231
Bereinigung,0.163,0.113,0.025,0.025,0.031,0.037,0.037
Bearbeitung,0.237,0.125,0.069,0.006,0.044,0.037,0.062
Beziehungsanalyse,0.169,0.062,0.075,0.081,0.075,0.056,0.031
Inhaltsanalyse,0.312,0.138,0.237,0.15,0.188,0.163,0.125
Netzwerkanalyse,0.15,0.081,0.069,0.075,0.056,0.05,0.044
Räumliche Analyse,0.131,0.062,0.025,0.025,0.025,0.037,0.019
Stilistische Analyse,0.106,0.05,0.087,0.062,0.056,0.069,0.025
Strukturanalyse,0.206,0.113,0.113,0.081,0.062,0.05,0.05
Visualisierung,0.713,0.312,0.212,0.175,0.156,0.206,0.169
Kontextsetzung,0.225,0.094,0.125,0.119,0.062,0.087,0.05
Modellierung,0.406,0.175,0.3,0.144,0.287,0.169,0.169
Theoretisierung,0.163,0.081,0.144,0.037,0.119,0.056,0.075
Archivierung,0.25,0.194,0.094,0.044,0.056,0.125,0.094
Identifizierung,0.163,0.069,0.031,0.044,0.025,0.044,0.031
Konservierung,0.087,0.094,0.031,0.006,0.006,0.025,0.0
Organisation,0.181,0.106,0.044,0.031,0.031,0.056,0.037
Crowdsourcing,0.069,0.044,0.0,0.0,0.031,0.031,0.025
Kollaboration,0.263,0.125,0.131,0.062,0.062,0.056,0.106
Kommentierung,0.131,0.056,0.037,0.013,0.006,0.013,0.013
Kommunikation,0.106,0.1,0.031,0.05,0.044,0.044,0.069
Veröffentlichung,0.306,0.231,0.094,0.094,0.081,0.106,0.144
Teilen,0.138,0.119,0.044,0.031,0.037,0.062,0.069
Bewertung,0.119,0.025,0.025,0.037,0.031,0.031,0.05
Community-Bildung,0.138,0.106,0.062,0.056,0.062,0.1,0.094
Einführung,0.056,0.031,0.019,0.044,0.037,0.025,0.044
Lehre,0.113,0.062,0.075,0.037,0.062,0.037,0.037
Projektmanagement,0.1,0.087,0.031,0.019,0.044,0.037,0.013
Artefakte,0.144,0.1,0.044,0.056,0.037,0.044,0.025
Bibliographie,0.044,0.037,0.019,0.0,0.019,0.019,0.013
Computer,0.119,0.025,0.006,0.006,0.006,0.0,0.0
Curricula,0.025,0.006,0.0,0.006,0.013,0.013,0.006
Daten,0.369,0.25,0.138,0.106,0.1,0.131,0.15
Datei,0.05,0.031,0.006,0.0,0.0,0.006,0.0
Bilder,0.188,0.169,0.075,0.094,0.062,0.044,0.056
3D-Bilder,0.037,0.031,0.013,0.037,0.006,0.013,0.013
Infrastruktur,0.188,0.131,0.081,0.031,0.056,0.081,0.062
Interaktion,0.094,0.062,0.019,0.013,0.006,0.019,0.013
Sprache,0.225,0.087,0.087,0.094,0.05,0.05,0.025
Link,0.056,0.019,0.013,0.0,0.006,0.006,0.006
Literatur,0.237,0.131,0.131,0.106,0.106,0.156,0.144
Manuskript,0.144,0.069,0.044,0.031,0.05,0.037,0.019
Karte,0.094,0.044,0.013,0.031,0.006,0.025,0.006
Metadaten,0.256,0.206,0.1,0.119,0.119,0.131,0.081
Methoden,0.231,0.15,0.156,0.106,0.113,0.106,0.062
Multimedia,0.087,0.025,0.025,0.094,0.025,0.025,0.013
Multimodale Kommunikation,0.056,0.013,0.006,0.075,0.006,0.013,0.025
benannte Entitäten (named entities),0.087,0.037,0.019,0.031,0.019,0.069,0.013
Personen,0.144,0.062,0.037,0.025,0.031,0.05,0.025
Projekte,0.163,0.069,0.037,0.044,0.019,0.037,0.013
Forschung,0.25,0.144,0.069,0.075,0.044,0.094,0.05
Forschungsprozess,0.225,0.144,0.119,0.087,0.062,0.094,0.069
Forschungsergebnis,0.131,0.087,0.031,0.013,0.037,0.037,0.05
Notenblätter,0.013,0.006,0.006,0.0,0.031,0.0,0.013
Software,0.269,0.138,0.081,0.094,0.062,0.062,0.062
Ton,0.044,0.006,0.019,0.019,0.019,0.006,0.006
Standards,0.163,0.125,0.056,0.056,0.05,0.025,0.019
Text,0.438,0.206,0.256,0.25,0.244,0.206,0.181
texttragende Gegenstände,0.069,0.037,0.037,0.031,0.019,0.0,0.019
Werkzeuge,0.263,0.081,0.081,0.05,0.05,0.069,0.037
Video,0.037,0.019,0.025,0.044,0.025,0.031,0.013
virtuelle Forschungsumgebungen,0.181,0.062,0.031,0.031,0.044,0.037,0.044
